prompt_id,base_th,r260_th,d_th,base_vea,r260_vea,d_vea,target,prompt
bcb_test_00175,1.0,1.0,0.0,0.7,0.0,-0.7,1,Load a CSV file into a pandas DataFrame and replace the NaN values in numeric co
bcb_test_00181,0.1,0.0,-0.1,0.7,0.0,-0.7,1,"Given a nested list of menu items, this function flattens the list and returns a"
bcb_test_00133,1.0,1.0,0.0,0.7,0.05,-0.65,1,Merge / Concatenate multiple CSV files from a specified directory into a single 
bcb_test_00014,0.1,0.05,-0.05,0.7,0.05,-0.65,1,Calculate the mode of all elements in a nested list 'L'. The function should out
bcb_test_00067,1.0,1.0,0.0,0.55,0.0,-0.55,1,Count the total appearances of all keys in all JSON files in the specified direc
bcb_test_00073,1.0,1.0,0.0,0.6,0.05,-0.55,1,"Load a CSV file into a Pandas DataFrame, replace all occurrences of the string '"
bcb_test_00127,1.0,1.0,0.0,0.55,0.0,-0.55,1,"Counts the number of words, characters, and unique characters in a given text. N"
bcb_test_00215,1.0,1.0,0.0,0.55,0.0,-0.55,1,"Create SHA256 hashes for all files in the specified directory, including files i"
bcb_test_00161,0.2,0.15,-0.05,0.6,0.05,-0.55,1,Submits a form on a given webpage using mechanize and extracts the title of the 
bcb_test_00009,0.7,0.6,-0.1,0.55,0.0,-0.55,1,Generate a DataFrame with random values within a specified range. This function 
bcb_test_00052,1.0,1.0,0.0,0.55,0.05,-0.5,1,Encrypt the categorical data in a specific column of a DataFrame using LabelEnco
bcb_test_00239,0.1,0.15,0.05,0.5,0.0,-0.5,1,Calculate the frequency of combinations of elements in a DataFrame. The function
bcb_test_00016,0.1,0.0,-0.1,0.5,0.0,-0.5,1,Generate a list of all possible integer pairs within the range of 1 to n. The fu
bcb_test_00107,0.1,0.0,-0.1,0.5,0.0,-0.5,1,Generates all possible combinations of the provided numbers in a given list for 
bcb_test_00135,1.0,1.0,0.0,0.45,0.0,-0.45,1,Determine the size and date of the last modification of a file. The function sho
bcb_test_00187,0.0,0.0,0.0,0.45,0.0,-0.45,1,Creates and returns a dictionary with the mode and entropy of a numpy array cons
bcb_test_00019,0.1,0.05,-0.05,0.45,0.0,-0.45,1,Perform K-Means clustering on the given data by first turning it into a DataFram
bcb_test_00021,0.25,0.3,0.05,0.45,0.0,-0.45,1,Calculate the skewness of the last column of the dataframe. The function should 
bcb_test_00083,0.2,0.1,-0.1,0.45,0.0,-0.45,1,"This function reads the specified CSV file, counts the frequency of each word, a"
bcb_test_00096,0.1,0.0,-0.1,0.45,0.0,-0.45,1,Insert a number into a randomly generated sorted list and return the new sorted 
bcb_test_00000,1.0,1.0,0.0,0.4,0.0,-0.4,1,Load a JSON configuration file and return the configuration dictionary. The func
bcb_test_00027,1.0,1.0,0.0,0.4,0.0,-0.4,1,Create a heatmap of the correlation matrix of a DataFrame built from a CSV file.
bcb_test_00222,1.0,1.0,0.0,0.4,0.0,-0.4,1,"Scrape the 'title' from a specified web page, save it in JSON format to a given "
bcb_test_00242,1.0,1.0,0.0,0.4,0.0,-0.4,1,"Run an R script and return the start time, end time, decoded stdout, and decoded"
bcb_test_00064,0.05,0.0,-0.05,0.4,0.0,-0.4,1,"If you have a nested list, replace each sublist with a random letter and return "
bcb_test_00124,0.1,0.0,-0.1,0.4,0.0,-0.4,1,Generate a random sine wave function and draw it on a provided matplotlib polar 
bcb_test_00069,1.0,1.0,0.0,0.35,0.0,-0.35,1,Visualize the distribution of stock closing prices using both a box plot and a h
bcb_test_00087,1.0,1.0,0.0,0.35,0.0,-0.35,1,Converts an Excel file (.xls or .xlsx) to a CSV file by reading the contents of 
